itemNummer,bedingung,anapherArt,indirektenAnapherArt,unterkategorie,spezifikation,kontext,stimulussatz,anker,anapher,erlaeuterung,verstaendnisfrage,erwarteteAntwort,anapherIdx
1,,Ü,,,,Restaurant,Tina/geht/heute/mit/ihrem/Freund/in/ein/neues/Café.//Sie/freut/sich/schon/sehr.,,,,Geht Tina heute in eine neue Bar?,,
2,,Ü,,,,Restaurant,Richard/bestellt/fast/jeden/Tag/Essen.//Er/kann/überhaupt/nicht/kochen.,,,,Bestellt Richard fast täglich Essen?,,
3,,Ü,,,,Krimi,Marlene/wurde/letzte/Woche/angeschossen.//Sie/liegt/noch/immer/im/Krankenhaus.,,,,Liegt Marlene noch immer im Krankenhaus?,,
4,,Ü,,,,Krimi,Bernd/verfolgt/einen/Räuber/mit/seinem/Auto.//Er/fährt/deswegen/schneller/als/erlaubt.,,,,Fährt Bernd mit der erlaubten Höchstgeschwindigkeit?,,
